Rk,Team,Year,G#,,Opp.,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,2PM,Sfty,KRTD,PRTD,INTD,FRTD,OppKRTD,OppPRTD,OppINTD,OppFRTD
134,ARIZONA ST,2014,2,@,NEW MEXICO,58,23,35,8,6,4,2,1,1,0,0,0,0,0,0,0,0,0
135,ARKANSAS,2014,2,,NICHOLLS,73,7,66,10,10,10,1,1,0,0,0,0,0,0,0,0,0,0
136,ARK STATE,2014,2,@,TENNESSEE,19,34,-15,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
137,ARMY,2014,1,,BUFFALO,47,39,8,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0
138,AUBURN,2014,2,,S JOSE ST,59,13,46,8,8,8,1,1,0,0,0,1,0,0,0,0,0,0
139,BALL ST,2014,2,@,IOWA,13,17,-4,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0
140,BAYLOR,2014,2,,NWSTATE,70,6,64,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
141,BOISE ST,2014,2,,COLO STATE,37,24,13,5,5,4,1,1,0,0,0,0,0,0,0,0,0,0
142,BOWL GREEN ,2014,2,,0,48,7,41,7,7,6,1,0,0,0,0,2,0,0,0,0,0,0
143,BYU,2014,2,@,TEXAS,41,7,34,5,5,5,2,2,0,0,0,0,0,0,0,0,0,0
144,BUFFALO,2014,2,@,ARMY,39,47,-8,5,4,4,2,1,1,0,0,0,0,0,0,0,0,0
145,CAL,2014,2,,SACRAMENTO,55,14,41,7,7,7,3,2,0,0,0,0,0,0,0,0,0,0
146,C MICHIGAN,2014,2,@,PURDUE,38,17,21,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0
147,CLEMSON,2014,2,,SCAR STATE,73,7,66,9,9,8,3,3,0,0,0,0,0,0,0,0,0,0
148,COLORADO,2014,2,N,UMASS,41,38,3,5,5,5,2,2,0,0,0,0,0,0,0,0,0,0
149,COLO STATE,2014,2,@,BOISE ST,24,37,-13,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0
150,UCONN,2014,2,,STNY BROOK,19,16,3,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0
151,DUKE,2014,2,@,TROY,34,17,17,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0
152,E CAROLINA,2014,2,@,S CAROLINA,23,33,-10,2,2,2,4,3,0,0,0,0,0,0,0,0,0,0
153,E MICHIGAN,2014,2,@,FLORIDA,0,65,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,FLORIDA,2014,1,,E MICHIGAN,65,0,65,8,8,8,3,3,0,0,0,0,0,0,0,0,0,0
155,FAU,2014,2,@,ALABAMA,0,41,-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,FIU,2014,2,,WAGNER,34,3,31,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0
157,FLORIDA ST,2014,2,,CITADEL,37,12,25,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0
158,FRESNO ST,2014,2,@,UTAH,27,59,-32,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0
159,GA SOUTHRN,2014,2,,SVANNAH ST,83,9,74,12,12,11,0,0,0,0,0,0,0,0,0,0,0,0
160,GA STATE,2014,2,,NEW MEX ST,31,34,-3,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0
161,GA TECH,2014,2,@,TULANE,38,21,17,5,5,5,2,1,0,0,0,0,0,0,0,0,0,0
162,HAWAII,2014,2,,OREGON ST,30,38,-8,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0
163,HOUSTON,2014,2,,GRAMBLING,47,0,47,4,5,5,4,4,0,0,0,0,0,0,0,0,0,0
164,IDAHO,2014,1,@,LA MONROE,31,38,-7,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0
165,ILLINOIS,2014,2,,W KENTUCKY,42,34,8,6,6,6,2,0,0,0,0,0,0,0,0,0,0,0
166,IOWA,2014,2,,BALL ST,17,13,4,2,2,2,4,1,0,0,0,0,0,0,0,0,0,0
167,IOWA STATE,2014,2,,KANSAS ST,28,32,-4,4,4,4,0,0,0,0,0,1,0,0,0,0,0,0
168,KANSAS,2014,1,,SE MO ST,34,28,6,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0
