week,player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
0,Scott Breslin,98649,T,S JOSE ST,1,0,285,52.4,100.0,2,40.0,2,64.1,0,100.0,5,5,73.0,100.0,3,60.0,3
0,Devanti Dillard,131790,WR,UCLA,1,0,324,,,0,0.0,0,59.5,0,100.0,5,5,59.5,100.0,5,100.0,5
0,Jordan Brown,128172,WR,FRESNO ST,1,0,169,,,0,0.0,0,55.6,0,100.0,5,5,55.7,100.0,4,80.0,4
0,Aaron Turner,147371,WR,UCONN,1,0,146,60.0,100.0,3,60.0,3,60.4,0,100.0,5,5,60.0,100.0,2,40.0,2
0,Hudson Habermehl,100658,TE,UCLA,1,0,324,,,0,0.0,0,40.0,0,100.0,5,5,39.5,100.0,3,60.0,3
0,Jelani Newman,101263,T,S JOSE ST,1,0,285,59.3,100.0,2,40.0,2,58.1,0,100.0,5,5,59.2,100.0,3,60.0,3
0,Jostein Clarke,102516,WR,UTEP,1,0,330,60.0,100.0,2,40.0,2,60.6,0,100.0,5,5,60.2,100.0,3,60.0,3
0,Steven Houston,52258,WR,S JOSE ST,1,0,285,60.0,100.0,2,40.0,2,60.4,0,100.0,5,5,60.1,100.0,3,60.0,3
0,Brant Banks,101581,G,NEBRASKA,1,0,238,60.0,100.0,1,20.0,1,51.4,0,100.0,5,5,51.5,100.0,3,60.0,3
0,Carlos Sandy,84215,WR,ILLINOIS,1,0,187,,,0,0.0,0,60.8,0,100.0,5,5,60.8,100.0,5,100.0,5
0,Dominick Mazotti,98717,TE,S JOSE ST,1,0,285,58.6,100.0,2,40.0,2,58.4,0,100.0,5,5,60.2,100.0,3,60.0,3
0,Rodney Wright III,97169,WR,FRESNO ST,1,0,169,,,0,0.0,0,60.3,0,100.0,4,4,60.1,100.0,3,75.0,3
0,Gabe Ervin Jr.,144996,HB,NEBRASKA,1,0,238,,0.0,0,0.0,3,59.4,0,25.0,4,16,60.0,18.2,2,50.0,11
0,Miles Banks,98588,WR,UTEP,1,0,330,60.0,100.0,2,50.0,2,60.2,0,100.0,4,4,59.8,100.0,2,50.0,2
0,Markese Stepp,83786,HB,NEBRASKA,1,0,238,60.0,100.0,1,25.0,1,58.5,0,57.1,4,7,59.5,40.0,2,50.0,5
0,Sam Olson,128333,TE,S JOSE ST,1,0,285,60.0,100.0,1,25.0,1,55.2,0,100.0,4,4,74.2,100.0,3,75.0,3
0,Calvin Brownholtz,83584,QB,UTEP,1,0,330,60.0,25.0,1,25.0,4,60.0,0,40.0,4,10,60.0,66.7,2,50.0,3
0,Peter Rooney Jr.,77428,T,UCONN,1,0,146,,,0,0.0,0,63.8,0,100.0,4,4,63.8,100.0,4,100.0,4
0,Broc Bando,59911,T,NEBRASKA,1,0,238,60.0,100.0,2,50.0,2,59.4,0,100.0,4,4,60.0,100.0,1,25.0,1
0,Natano Woods,128341,QB,S JOSE ST,1,0,285,60.0,33.3,1,25.0,3,60.0,0,66.7,4,6,60.0,100.0,3,75.0,3
0,Julian Pearl,82282,T,ILLINOIS,1,0,187,69.4,100.0,3,75.0,3,78.5,0,100.0,4,4,65.7,100.0,1,25.0,1
0,Jared Torres,83970,TE,FRESNO ST,1,0,169,,,0,0.0,0,67.6,0,100.0,4,4,65.4,100.0,1,25.0,1
0,Deuce Spann,129427,WR,ILLINOIS,1,0,187,60.0,100.0,1,25.0,1,60.3,0,100.0,4,4,60.0,100.0,3,75.0,3
0,Robert Mervin,122030,C,UTEP,1,0,330,60.0,100.0,1,25.0,1,58.1,0,100.0,4,4,58.0,100.0,3,75.0,3
0,Isaiah Bravo,100828,QB,UTEP,1,0,330,,0.0,0,0.0,2,60.0,0,50.0,3,6,60.0,75.0,3,100.0,4
0,Jaime Perales,60195,G,UTEP,1,0,330,59.5,100.0,2,66.7,2,65.7,0,100.0,3,3,60.0,100.0,1,33.3,1
0,Quardraiz Wadley,57460,HB,UTEP,1,0,330,60.0,100.0,1,33.3,1,58.6,0,33.3,3,9,,0.0,0,0.0,6
0,Noel Ofori-Nyadu,77430,G,UCONN,1,0,146,59.3,100.0,2,66.7,2,58.3,0,100.0,3,3,60.0,100.0,1,33.3,1
0,Josh Farr,122011,WR,UTEP,1,0,330,59.7,100.0,2,66.7,2,59.8,0,100.0,3,3,60.0,100.0,1,33.3,1
0,Levi Falck,40261,WR,NEBRASKA,1,0,238,,,0,0.0,0,60.1,0,100.0,3,3,60.1,100.0,3,100.0,3
0,Malik Sherrod,128189,HB,FRESNO ST,1,0,169,,,0,0.0,0,60.0,0,50.0,3,6,,0.0,0,0.0,3
0,Dae Hunter,128200,HB,HAWAII,1,0,180,60.0,50.0,1,33.3,2,59.7,0,30.0,3,10,60.0,28.6,2,66.7,7
0,Walter Dawn Jr.,39921,WR,UTEP,1,0,330,57.3,100.0,2,66.7,2,55.6,0,100.0,3,3,,,0,0.0,0
0,Steven Krajewski,77650,QB,UCONN,1,0,146,,,0,0.0,0,60.0,0,75.0,3,4,60.0,75.0,3,100.0,4
