Week,player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
1,Ronald Curry,1199,WR,OAK,1,18.8,1,40.0,,0,0,0,33.3,1,2,23,0,29.9,64.0,53.2,,52.7,0.0,0,0,14,0.0,0,19,0,2,100.0,19,68.4,13,90.0,5,1,31.6,6,18,2,1.0,9.0,0.95
1,Todd Heap,801,TE,BLT,1,8.2,0,20.0,,0,0,0,50.0,1,0,3,1,28.8,18.6,54.7,72.4,27.4,70.4,19,0,5,7.4,2,27,0,1,92.6,25,11.1,3,39.6,5,0,7.4,2,5,1,1.0,5.0,0.2
1,Greg Jennings,2997,WR,GB,1,15.8,0,100.0,,0,0,0,0.0,0,3,12,0,73.4,68.0,74.5,,73.5,0.0,0,0,56,0.0,0,27,0,5,88.9,24,25.9,7,118.8,5,0,74.1,20,91,12,2.4,18.2,3.79
1,Shaun McDonald,1418,WR,DET,1,5.6,1,80.0,,0,0,0,20.0,1,3,11,0,42.1,67.0,70.8,,69.7,0.0,0,0,11,0.0,0,23,0,4,91.3,21,87.0,20,90.8,5,0,13.0,3,29,9,2.3,7.3,1.38
1,Sammy Morris,678,HB,NE,1,0.0,0,100.0,,0,0,0,0.0,0,0,19,0,73.4,75.1,67.0,16.3,60.8,0.0,0,0,11,15.0,3,20,0,5,85.0,17,0.0,0,95.0,5,0,20.0,4,34,34,6.8,6.8,2.0
1,Roy Williams,1728,WR,DET,1,17.8,0,60.0,,0,0,0,0.0,0,3,11,0,72.1,67.0,59.9,,63.3,0.0,0,1,21,0.0,0,40,1,3,87.5,35,12.5,5,91.3,5,1,87.5,35,47,4,1.3,15.7,1.34
1,Amani Toomer,169,WR,NYG,1,9.6,0,40.0,,0,0,0,0.0,0,1,21,0,70.5,65.8,52.8,,53.0,0.0,0,0,6,0.0,0,37,1,2,94.6,35,40.5,15,47.9,5,0,59.5,22,12,2,1.0,6.0,0.34
1,Marshawn Lynch,3628,HB,BUF,1,-3.4,1,60.0,,0,0,0,40.0,2,1,4,0,28.0,77.0,58.0,60.3,45.6,0.0,0,0,11,40.0,12,30,0,3,56.7,17,3.3,1,67.1,5,0,3.3,1,18,32,10.7,6.0,1.06
1,Brandon Stokley,498,WR,DEN,1,9.8,0,40.0,,0,0,0,0.0,0,1,10,0,68.3,64.0,62.8,,62.3,0.0,0,0,13,0.0,0,13,0,2,92.3,12,84.6,11,56.3,5,0,15.4,2,25,3,1.5,12.5,2.08
1,Marion Barber III,2326,HB,DAL,1,-0.8,0,75.0,,0,0,0,0.0,0,1,9,0,70.5,76.7,64.5,76.7,75.7,0.0,0,0,13,18.5,5,27,0,3,70.4,19,3.7,1,86.5,4,0,0.0,0,21,21,7.0,7.0,1.11
