Week,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
1,Parker Navarro,123758,QB,OHIO,1,70.4,27,30,9.4,3.41,0,1,3.1,60.0,18,0,13,5.3,38,1,11,259,42.5,60.8,60.9,59.0,1,1,40,0,30.8,63.3,10.5,4,4,0,2,0,0,0.0,181,6.0
1,Cade Klubnik,156253,QB,CLEMSON,1,77.8,27,29,10.3,2.81,0,1,3.0,62.1,18,0,10,14.3,30,3,6,140,70.5,62.9,65.0,54.3,0,1,35,0,10.0,59.8,3.3,1,0,0,2,0,1,2.9,142,4.9
1,Keyone Jenkins,170403,QB,FIU,1,77.8,27,29,5.3,2.41,0,0,0.0,69.0,20,0,12,4.8,37,1,8,166,21.6,56.2,61.9,47.8,0,1,39,0,33.3,74.4,10.8,4,4,0,2,1,2,5.1,123,4.2
1,Devin Kargman,156913,QB,KENT STATE,1,59.3,27,29,10.1,2.06,0,2,6.5,48.3,14,0,14,12.5,33,2,8,201,30.4,61.8,59.5,63.5,0,1,35,1,28.6,77.2,12.1,4,0,0,2,2,1,2.9,183,6.3
1,Haynes King,124329,QB,GA TECH,1,96.0,25,29,3.0,1.98,4,0,0.0,82.8,24,0,2,0.0,29,0,13,176,71.1,76.6,72.2,69.4,0,1,29,0,0.0,114.8,0.0,0,0,0,0,2,1,3.4,275,9.5
1,Davis Bryson,160369,QB,KENNESAW,1,61.5,26,28,7.6,2.44,0,0,0.0,50.0,14,0,16,12.5,33,2,7,200,74.5,50.8,50.6,58.1,1,0,35,1,18.8,85.4,9.1,3,2,0,1,1,2,5.7,200,7.1
1,Hank Bachmeier,101284,QB,WAKE,1,76.9,26,28,13.0,3.31,1,2,7.1,64.3,18,0,6,10.0,31,2,13,339,68.3,90.3,90.3,62.0,0,0,31,1,16.7,130.5,3.2,1,2,0,1,3,0,0.0,263,9.4
1,Will Howard,122599,QB,OHIO STATE,1,73.1,26,28,7.8,2.49,0,1,3.3,60.7,17,0,5,10.5,30,2,12,260,69.3,74.1,68.2,73.8,0,0,32,0,0.0,122.3,0.0,0,1,0,2,3,1,3.1,228,8.1
1,Garrett Greene,123420,QB,W VIRGINIA,1,59.3,27,28,9.3,2.41,0,0,0.0,53.6,15,0,10,6.3,30,1,7,343,22.9,55.0,54.5,57.9,1,0,35,0,20.0,70.7,6.7,2,0,0,0,0,1,2.9,161,5.8
1,Cole Snyder,97617,QB,E MICHIGAN,1,87.0,23,28,8.9,2.44,1,5,15.6,60.7,17,0,6,15.0,30,3,10,160,71.3,91.7,91.8,67.0,0,0,34,0,0.0,100.4,0.0,0,2,0,4,1,0,0.0,241,8.6
1,Nico Iamaleava,174728,QB,TENNESSEE,1,81.5,27,28,10.0,2.75,1,2,6.7,78.6,22,0,4,0.0,32,0,16,307,29.1,86.0,90.7,48.1,0,0,35,0,25.0,149.1,3.1,1,3,0,0,3,1,2.9,314,11.2
1,Dylan Raiola,183581,QB,NEBRASKA,1,83.3,24,28,11.5,2.93,0,2,6.3,67.9,19,0,7,5.0,29,1,11,238,68.5,83.8,83.1,,0,0,33,0,14.3,117.9,3.4,1,0,1,3,2,0,0.0,238,8.5
1,Jaxson Dart,146409,QB,OLE MISS,1,92.0,25,27,12.2,2.64,2,3,11.1,81.5,22,0,4,4.3,31,1,18,226,69.4,93.1,93.0,68.1,0,0,32,0,25.0,158.3,3.2,1,3,0,0,5,0,0.0,418,15.5
1,Billy Edwards Jr.,144185,QB,MARYLAND,1,81.5,27,27,7.1,2.34,0,3,10.7,74.1,20,0,4,9.1,29,2,12,215,70.2,89.8,85.0,74.3,0,0,30,0,0.0,136.5,0.0,0,1,0,0,2,0,0.0,311,11.5
1,Will Rogers,124184,QB,WASHINGTON,1,80.0,25,27,6.5,2.41,1,0,0.0,74.1,20,0,8,0.0,30,0,11,340,68.2,56.2,56.5,57.3,0,0,30,0,25.0,114.7,6.7,2,1,1,0,1,1,3.3,250,9.3
1,Hunter Watson,183993,QB,SM HOUSTON,1,66.7,24,27,11.4,2.79,0,2,7.4,59.3,16,0,16,0.0,35,0,10,281,72.1,79.0,69.7,76.9,1,0,36,0,43.8,111.5,20.0,7,1,0,2,2,0,0.0,229,8.5
1,Quinn Ewers,127253,QB,TEXAS,1,81.5,27,27,6.3,2.16,0,0,0.0,74.1,20,0,3,9.1,28,2,15,311,68.0,80.6,79.9,,0,1,28,0,33.3,125.5,3.6,1,0,0,0,3,0,0.0,260,9.6
1,Rocco Becht,157567,QB,IOWA STATE,1,76.9,26,26,9.7,2.21,0,2,7.1,76.9,20,0,3,0.0,27,0,12,193,69.7,82.1,80.4,65.8,0,0,29,0,0.0,134.6,0.0,0,1,0,0,2,0,0.0,267,10.3
1,Davis Warren,73940,QB,MICHIGAN,1,75.0,24,25,8.3,2.16,0,1,4.0,60.0,15,0,6,16.7,26,3,9,222,68.4,74.2,73.3,60.0,0,1,26,0,16.7,68.4,3.8,1,0,0,1,1,1,3.8,118,4.7
1,Jackson Arnold,173684,QB,OKLAHOMA,1,83.3,24,25,10.8,2.72,0,2,7.7,68.0,17,0,10,15.0,31,3,7,261,70.8,72.2,74.7,58.4,0,0,32,0,30.0,121.8,9.7,3,3,0,1,4,0,0.0,141,5.6
