Week,player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
1,Fakhir Brown,543,CB,SL,1,0,0,40.0,0,0,26,0,0,56.9,56.3,79.1,,53.7,75.4,0,0,0,0,14,0.0,0,0,1,57.1,2,0,0,0,61,35,62,0,0,0,0,0,0,62,0,27,1,0,2,0,5,0,0,26,3,13.0
1,Marques Douglas,549,DI,BLT,1,1,0,,0,0,3,0,0,,76.8,72.4,65.6,71.4,69.5,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,16,16,0,1,0,15,0,0,6,10,0,1,1,0,0,1,0,0,0,
1,Corey Ivy,556,CB,BLT,1,1,0,0.0,0,0,3,0,0,69.5,77.0,74.8,65.3,63.0,77.8,1,0,0,0,,0.0,0,0,0,39.6,0,0,0,1,0,19,23,0,0,0,0,0,0,23,1,3,22,0,1,0,1,1,0,0,0,
1,Brian Urlacher,587,LB,CHI,1,0,0,100.0,0,0,6,0,0,66.1,56.1,0.0,59.0,50.3,72.3,0,1,0,0,10,10.0,1,0,1,97.2,3,0,0,69,0,45,69,0,0,0,0,0,0,69,9,15,0,2,9,0,3,1,0,22,22,7.3
1,Shaun Ellis,590,DI,NYJ,1,0,0,,0,0,22,0,0,60.0,66.8,75.9,63.2,64.0,70.3,1,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,1,41,41,9,10,0,22,0,0,32,8,0,1,1,0,0,2,0,0,0,
1,John Abraham,591,ED,ATL,1,0,0,,0,0,2,0,0,60.0,79.9,74.6,71.7,71.5,71.6,1,0,0,0,,0.0,0,0,0,0.0,0,3,0,0,0,1,34,34,0,0,0,34,0,0,27,6,0,3,1,0,0,4,0,0,0,
1,Deltha O'Neal,593,CB,NE,1,0,0,50.0,0,0,19,0,0,58.5,59.4,76.0,,61.8,37.2,0,0,0,0,9,25.0,1,0,0,58.3,2,0,0,0,35,24,35,0,0,0,0,0,0,35,0,11,0,0,3,0,4,0,0,14,10,7.0
1,Julian Peterson,594,LB,SEA,1,0,0,66.7,0,0,29,0,0,41.0,52.3,70.7,57.2,64.2,56.1,1,0,0,0,9,20.0,1,0,1,75.7,2,0,0,46,0,17,59,13,0,0,0,13,0,46,13,29,0,3,4,0,3,1,0,13,5,6.5
1,Chris Hovan,600,DI,TB,1,0,0,,0,0,30,0,0,,51.2,77.8,53.3,53.0,70.6,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,51,51,1,50,0,0,0,0,25,26,0,4,5,1,0,0,0,0,0,
1,Keith Bulluck,604,LB,TEN,1,0,0,100.0,0,0,31,0,0,44.7,39.7,68.2,56.8,41.9,23.5,0,0,0,0,33,66.7,2,0,0,118.8,4,0,0,59,0,41,60,1,0,0,1,0,0,59,3,16,0,0,1,0,4,0,0,69,60,17.3
1,Darren Howard,606,ED,PHI,1,0,0,,0,0,24,0,0,,70.8,74.8,67.8,62.5,68.8,0,2,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,0,24,24,0,12,0,12,0,0,20,4,0,1,1,1,0,3,0,0,0,
1,Mark Roman,607,S,SF,1,1,0,0.0,0,0,28,0,0,65.3,71.9,74.7,53.8,75.0,82.0,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,6,0,32,73,0,0,0,0,0,65,73,2,39,2,1,3,0,1,0,0,0,0,
1,John Engelberger,608,ED,DEN,1,0,0,,0,0,10,0,0,60.0,63.4,75.2,52.2,67.7,71.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,33,33,0,0,0,33,0,0,15,18,0,4,5,1,0,0,0,0,0,
1,Mike Brown,610,S,CHI,1,0,0,50.0,0,0,6,0,0,58.7,59.6,74.2,57.9,64.1,29.8,0,0,0,0,18,33.3,2,0,0,70.1,3,0,0,2,0,53,69,0,0,0,0,0,67,69,1,15,0,1,4,0,6,0,0,38,8,12.7
1,Cornelius Griffin,613,DI,WAS,1,0,0,,0,0,32,0,0,60.0,54.2,77.8,53.5,57.8,66.8,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,50,50,0,50,0,0,0,0,25,24,0,1,1,0,0,0,0,0,0,
1,Fred Robbins,623,DI,NYG,1,0,0,,0,0,21,0,0,,61.8,0.0,59.9,68.5,70.8,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,43,43,0,43,0,0,0,0,19,24,0,4,4,2,0,1,0,0,0,
1,Deon Grant,624,S,SEA,1,1,0,100.0,0,0,29,0,0,51.0,44.7,74.6,,47.6,57.8,0,0,0,0,5,25.0,1,0,0,87.5,1,0,0,11,0,32,61,0,0,0,0,0,49,61,0,29,1,2,2,1,1,0,0,5,4,5.0
1,Marcus Washington,626,LB,WAS,1,1,0,0.0,0,0,32,0,0,67.3,50.5,67.9,54.2,43.5,75.1,0,0,0,0,,0.0,0,0,0,39.6,0,0,0,49,0,18,51,1,0,0,1,0,0,50,8,25,1,1,1,1,1,0,0,0,0,
1,Darwin Walker,633,DI,CAR,1,0,0,,0,0,5,0,0,,58.8,71.0,56.5,60.7,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,7,7,0,7,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,
1,Kendrick Clancy,634,DI,NO,1,0,0,,0,0,20,0,0,61.7,50.5,78.0,56.8,42.1,68.4,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,54,54,0,54,0,0,0,0,36,18,0,1,1,0,0,1,0,0,0,
